SignId,Id,X,Y,Z,Retro,Angle,Distance,UTC,R,G,B,H,S,V,pX,pY,Unnamed: 17,COLOR
1,38591,33.787,-84.406,244.587,0.74,-0.23,6.773,66090.59,251,254,255,196,0.016,1,0.127,0.781,,WHITE
1,38648,33.787,-84.406,245.09,0.74,-0.158,6.628,66090.603,252,253,254,210,0.008,0.996,0.107,0.234,,WHITE
1,38649,33.787,-84.406,245.022,0.76,-0.168,6.634,66090.603,250,253,254,196,0.016,0.996,0.107,0.308,,WHITE
1,38650,33.787,-84.406,244.953,0.75,-0.178,6.641,66090.603,250,253,254,196,0.016,0.996,0.095,0.383,,WHITE
1,38651,33.787,-84.406,244.887,0.73,-0.189,6.64,66090.603,251,254,255,196,0.016,1,0.097,0.455,,WHITE
1,38652,33.787,-84.406,244.82,0.76,-0.199,6.642,66090.603,251,254,255,196,0.016,1,0.088,0.528,,WHITE
1,38653,33.787,-84.406,244.754,0.75,-0.209,6.64,66090.603,250,253,254,196,0.016,0.996,0.081,0.6,,WHITE
1,38654,33.787,-84.406,244.689,0.75,-0.219,6.637,66090.603,251,254,255,196,0.016,1,0.093,0.67,,WHITE
1,38655,33.787,-84.406,244.62,0.74,-0.23,6.646,66090.603,254,251,254,300,0.012,0.996,0.091,0.745,,WHITE
1,38710,33.787,-84.406,245.048,0.74,-0.168,6.502,66090.616,249,252,253,196,0.016,0.992,0.048,0.28,,WHITE
1,38711,33.787,-84.406,244.981,0.76,-0.178,6.512,66090.616,251,253,254,200,0.012,0.996,0.048,0.353,,WHITE
1,38712,33.787,-84.406,244.915,0.74,-0.189,6.513,66090.616,250,253,254,196,0.016,0.996,0.051,0.424,,WHITE
1,38713,33.787,-84.406,244.852,0.74,-0.199,6.502,66090.616,250,253,254,196,0.016,0.996,0.061,0.493,,WHITE
1,38714,33.787,-84.406,244.783,0.73,-0.209,6.52,66090.616,250,253,254,196,0.016,0.996,0.053,0.568,,WHITE
1,38715,33.787,-84.406,244.718,0.71,-0.219,6.52,66090.616,250,253,254,196,0.016,0.996,0.064,0.639,,WHITE
1,38716,33.787,-84.406,244.648,0.56,-0.23,6.541,66090.616,251,251,253,240,0.008,0.992,0.055,0.715,,WHITE
1,38775,33.787,-84.406,245.004,0.53,-0.178,6.407,66090.629,223,244,254,200,0.122,0.996,0.015,0.328,,WHITE
1,38776,33.787,-84.406,244.934,0.53,-0.189,6.431,66090.629,235,254,255,184,0.078,1,0.023,0.404,,WHITE
1,38777,33.787,-84.406,244.871,0.53,-0.199,6.426,66090.629,220,231,242,210,0.09,0.949,0,0.472,,WHITE
1,38778,33.787,-84.406,244.805,0.51,-0.209,6.435,66090.629,236,250,255,196,0.075,1,0.01,0.544,,WHITE
